customer_id,business_size,industry,cardholder_role,business_age_years,tenure_months,credit_limit,avg_monthly_spend,spend_trend_3mo,transaction_count_monthly,utilization_ratio,merchant_category_diversity,credit_score_band,late_payments_last_12mo,payment_ratio,support_calls_last_90d,login_frequency_monthly,churn_flag
SME100000,small,tech,employee,0.7,44.0,22500.0,4218.99,-0.075,30.0,0.077,2,prime,1,0.62,2.0,0.0,0
SME100001,micro,tech,business_owner,2.8,32.0,9100.0,3812.99,0.024,19.0,0.651,12,super_prime,1,0.68,1.0,10.0,1
SME100002,small,professional_services,employee,21.8,15.0,2800.0,5143.65,0.246,27.0,0.53,11,near_prime,3,0.6,1.0,10.0,0
SME100003,small,food_service,employee,11.7,20.0,13800.0,3485.6,-0.131,41.0,0.372,11,super_prime,0,0.72,3.0,6.0,1
SME100004,micro,construction,employee,4.6,35.0,5900.0,5887.64,0.013,55.0,0.173,8,prime,0,0.75,0.0,6.0,0
SME100005,medium,construction,business_owner,2.6,10.0,9200.0,6810.21,-0.099,54.0,0.48,11,prime,1,0.66,1.0,3.0,1
SME100006,small,healthcare,business_owner,8.8,31.0,4800.0,5517.53,0.01,52.0,0.324,10,subprime,0,0.83,2.0,13.0,0
SME100007,small,healthcare,employee,4.1,3.0,4000.0,2347.59,0.083,26.0,0.749,10,near_prime,0,0.67,1.0,13.0,0
SME100008,micro,food_service,employee,1.4,15.0,14600.0,106066.12,0.15,981.0,0.359,13,super_prime,0,0.86,0.0,7.0,0
SME100009,micro,professional_services,employee,4.3,4.0,5400.0,3278.07,0.053,39.0,0.082,2,near_prime,0,0.53,0.0,9.0,0
SME100010,micro,professional_services,employee,3.4,43.0,21500.0,4298.4,-0.018,27.0,0.163,12,prime,0,0.72,0.0,5.0,1
SME100011,medium,tech,business_owner,7.2,16.0,13500.0,3227.53,-0.015,26.0,0.453,9,super_prime,2,0.9,1.0,9.0,1
SME100012,small,food_service,employee,13.0,6.0,8500.0,2470.66,-0.153,15.0,0.098,11,subprime,3,0.6,0.0,11.0,0
SME100013,small,retail,employee,3.4,3.0,7100.0,66131.16,0.031,417.0,0.221,8,prime,0,0.94,1.0,12.0,1
SME100014,micro,professional_services,employee,5.1,10.0,20300.0,6602.62,-0.022,49.0,0.438,8,near_prime,3,0.78,2.0,10.0,0
SME100015,micro,food_service,employee,5.3,31.0,13600.0,5109.62,-0.029,29.0,0.661,2,prime,0,0.75,3.0,13.0,0
SME100016,small,retail,employee,1.3,10.0,3600.0,5905.74,-0.032,51.0,0.242,14,near_prime,4,0.42,1.0,4.0,0
SME100017,micro,tech,employee,10.3,18.0,23400.0,4033.33,-0.175,23.0,0.444,14,super_prime,0,0.75,,,0
SME100018,small,construction,business_owner,14.2,13.0,18300.0,6335.84,0.014,74.0,0.296,8,prime,2,1.1,3.0,15.0,0
SME100019,small,retail,business_owner,1.1,21.0,19300.0,10346.09,-0.128,86.0,0.187,13,prime,0,0.76,2.0,9.0,0
SME100020,small,food_service,business_owner,2.7,40.0,21600.0,2737.65,-0.113,22.0,0.366,7,prime,0,0.5,2.0,14.0,0
SME100021,micro,food_service,business_owner,6.3,18.0,4800.0,2564.07,0.105,14.0,0.149,3,subprime,1,0.59,1.0,17.0,0
SME100022,medium,healthcare,business_owner,1.0,3.0,31700.0,2765.98,0.05,31.0,0.225,14,subprime,5,0.67,0.0,7.0,0
SME100023,small,construction,business_owner,2.5,6.0,23300.0,11840.78,0.167,61.0,0.07,1,prime,2,0.75,0.0,8.0,0
SME100024,small,retail,employee,15.3,27.0,24900.0,6236.64,-0.056,56.0,0.253,13,prime,1,0.92,4.0,6.0,0
SME100025,micro,retail,business_owner,16.1,30.0,15100.0,5323.47,0.067,35.0,0.214,6,prime,2,0.88,1.0,8.0,1
SME100026,micro,healthcare,employee,2.8,19.0,12600.0,7683.35,0.109,54.0,0.492,12,subprime,2,0.39,1.0,4.0,0
SME100027,micro,tech,business_owner,8.5,21.0,17200.0,6036.04,-0.054,42.0,0.31,7,near_prime,1,0.67,1.0,7.0,1
