customer_id,business_size,industry,cardholder_role,business_age_years,tenure_months,credit_limit,avg_monthly_spend,spend_trend_3mo,transaction_count_monthly,utilization_ratio,merchant_category_diversity,credit_score_band,late_payments_last_12mo,payment_ratio,support_calls_last_90d,login_frequency_monthly,churn_flag,avg_monthly_spend_capped,risk_segment,risk_segment_label
SME100000,small,tech,employee,0.7,44.0,22500.0,4218.99,-0.075,30.0,0.077,2,prime,1,0.62,2.0,0.0,0,4218.99,3,low_engagement_new
SME100001,micro,tech,business_owner,2.8,32.0,9100.0,3812.99,0.024,19.0,0.651,12,super_prime,1,0.68,1.0,10.0,1,3812.99,1,at_risk_stressed
SME100002,small,professional_services,employee,21.8,15.0,2800.0,5143.65,0.246,27.0,0.53,11,near_prime,3,0.6,1.0,10.0,0,5143.65,1,at_risk_stressed
SME100003,small,food_service,employee,11.7,20.0,13800.0,3485.6,-0.131,41.0,0.372,11,super_prime,0,0.72,3.0,6.0,1,3485.6,1,at_risk_stressed
SME100004,micro,construction,employee,4.6,35.0,5900.0,5887.64,0.013,55.0,0.173,8,prime,0,0.75,0.0,6.0,0,5887.64,3,low_engagement_new
SME100005,medium,construction,business_owner,2.6,10.0,9200.0,6810.21,-0.099,54.0,0.48,11,prime,1,0.66,1.0,3.0,1,6810.21,1,at_risk_stressed
SME100006,small,healthcare,business_owner,8.8,31.0,4800.0,5517.53,0.01,52.0,0.324,10,subprime,0,0.83,2.0,13.0,0,5517.53,3,low_engagement_new
SME100007,small,healthcare,employee,4.1,3.0,4000.0,2347.59,0.083,26.0,0.749,10,near_prime,0,0.67,1.0,13.0,0,2347.59,1,at_risk_stressed
SME100008,micro,food_service,employee,1.4,15.0,14600.0,106066.12,0.15,981.0,0.359,13,super_prime,0,0.86,0.0,7.0,0,19004.126499999675,2,high_value_newer
SME100009,micro,professional_services,employee,4.3,4.0,5400.0,3278.07,0.053,39.0,0.082,2,near_prime,0,0.53,0.0,9.0,0,3278.07,3,low_engagement_new
SME100010,micro,professional_services,employee,3.4,43.0,21500.0,4298.4,-0.018,27.0,0.163,12,prime,0,0.72,0.0,5.0,1,4298.4,3,low_engagement_new
SME100011,medium,tech,business_owner,7.2,16.0,13500.0,3227.53,-0.015,26.0,0.453,9,super_prime,2,0.9,1.0,9.0,1,3227.53,1,at_risk_stressed
SME100012,small,food_service,employee,13.0,6.0,8500.0,2470.66,-0.153,15.0,0.098,11,subprime,3,0.6,0.0,11.0,0,2470.66,3,low_engagement_new
SME100013,small,retail,employee,3.4,3.0,7100.0,66131.16,0.031,417.0,0.221,8,prime,0,0.94,1.0,12.0,1,19004.126499999675,2,high_value_newer
SME100014,micro,professional_services,employee,5.1,10.0,20300.0,6602.62,-0.022,49.0,0.438,8,near_prime,3,0.78,2.0,10.0,0,6602.62,1,at_risk_stressed
SME100015,micro,food_service,employee,5.3,31.0,13600.0,5109.62,-0.029,29.0,0.661,2,prime,0,0.75,3.0,13.0,0,5109.62,1,at_risk_stressed
SME100016,small,retail,employee,1.3,10.0,3600.0,5905.74,-0.032,51.0,0.242,14,near_prime,4,0.42,1.0,4.0,0,5905.74,3,low_engagement_new
SME100017,micro,tech,employee,10.3,18.0,23400.0,4033.33,-0.175,23.0,0.444,14,super_prime,0,0.75,1.0,8.0,0,4033.33,1,at_risk_stressed
SME100018,small,construction,business_owner,14.2,13.0,18300.0,6335.84,0.014,74.0,0.296,8,prime,2,1.1,3.0,15.0,0,6335.84,2,high_value_newer
SME100019,small,retail,business_owner,1.1,21.0,19300.0,10346.09,-0.128,86.0,0.187,13,prime,0,0.76,2.0,9.0,0,10346.09,2,high_value_newer
SME100020,small,food_service,business_owner,2.7,40.0,21600.0,2737.65,-0.113,22.0,0.366,7,prime,0,0.5,2.0,14.0,0,2737.65,3,low_engagement_new
SME100021,micro,food_service,business_owner,6.3,18.0,4800.0,2564.07,0.105,14.0,0.149,3,subprime,1,0.59,1.0,17.0,0,2564.07,3,low_engagement_new
SME100022,medium,healthcare,business_owner,1.0,3.0,31700.0,2765.98,0.05,31.0,0.225,14,subprime,5,0.67,0.0,7.0,0,2765.98,3,low_engagement_new
SME100023,small,construction,business_owner,2.5,6.0,23300.0,11840.78,0.167,61.0,0.07,1,prime,2,0.75,0.0,8.0,0,11840.78,2,high_value_newer
SME100024,small,retail,employee,15.3,27.0,24900.0,6236.64,-0.056,56.0,0.253,13,prime,1,0.92,4.0,6.0,0,6236.64,3,low_engagement_new
SME100025,micro,retail,business_owner,16.1,30.0,15100.0,5323.47,0.067,35.0,0.214,6,prime,2,0.88,1.0,8.0,1,5323.47,3,low_engagement_new
SME100026,micro,healthcare,employee,2.8,19.0,12600.0,7683.35,0.109,54.0,0.492,12,subprime,2,0.39,1.0,4.0,0,7683.35,1,at_risk_stressed
SME100027,micro,tech,business_owner,8.5,21.0,17200.0,6036.04,-0.054,42.0,0.31,7,near_prime,1,0.67,1.0,7.0,1,6036.04,3,low_engagement_new
SME100028,micro,tech,employee,5.0,59.0,20800.0,9356.71,0.014,65.0,0.635,10,prime,1,0.49,3.0,10.0,0,9356.71,0,loyal_established
SME100029,small,retail,employee,1.5,29.0,23400.0,3144.4,0.028,19.0,0.239,7,super_prime,0,0.9,0.0,12.0,0,3144.4,3,low_engagement_new
SME100030,small,food_service,employee,0.5,1.0,16400.0,5047.72,-0.123,26.0,0.226,14,prime,2,0.8,1.0,6.0,0,5047.72,3,low_engagement_new
SME100031,medium,retail,employee,2.5,38.0,14800.0,1144.3,-0.104,10.0,0.328,12,near_prime,1,0.47,0.0,8.0,0,1144.3,3,low_engagement_new
SME100032,micro,tech,employee,2.5,53.0,27400.0,636.59,-0.055,4.0,0.378,6,near_prime,2,0.71,2.0,5.0,1,636.59,0,loyal_established
SME100033,micro,professional_services,employee,5.7,41.0,25200.0,6144.04,-0.079,59.0,0.373,11,super_prime,0,1.0,1.0,13.0,0,6144.04,0,loyal_established
SME100034,micro,tech,business_owner,1.2,46.0,15600.0,3838.87,-0.115,23.0,0.279,12,prime,1,0.9,1.0,11.0,0,3838.87,0,loyal_established
SME100035,micro,professional_services,employee,0.5,35.0,13400.0,2103.77,0.101,12.0,0.702,12,super_prime,0,0.72,0.0,2.0,0,2103.77,1,at_risk_stressed
SME100036,micro,retail,business_owner,13.1,29.0,15400.0,7134.09,0.105,43.0,0.44,14,prime,1,0.79,2.0,0.0,1,7134.09,1,at_risk_stressed
SME100037,micro,food_service,employee,4.8,1.0,16200.0,6779.26,0.135,37.0,0.523,10,prime,0,0.8,0.0,7.0,1,6779.26,1,at_risk_stressed
SME100038,micro,tech,business_owner,3.0,45.0,27800.0,7422.18,-0.085,57.0,0.778,8,super_prime,0,0.83,1.0,0.0,1,7422.18,1,at_risk_stressed
SME100039,small,healthcare,employee,5.2,32.0,18300.0,5588.14,-0.037,29.0,0.163,14,near_prime,1,0.65,3.0,5.0,0,5588.14,3,low_engagement_new
SME100040,micro,professional_services,business_owner,6.9,23.0,16400.0,2969.21,-0.037,20.0,0.557,12,super_prime,2,0.98,0.0,9.0,0,2969.21,1,at_risk_stressed
SME100041,small,food_service,employee,0.5,7.0,12000.0,3700.39,0.012,20.0,0.373,9,near_prime,1,0.57,2.0,11.0,0,3700.39,1,at_risk_stressed
SME100042,small,retail,business_owner,27.5,23.0,17300.0,3472.57,-0.172,28.0,0.475,11,subprime,3,0.47,3.0,5.0,0,3472.57,1,at_risk_stressed
SME100043,micro,retail,employee,14.2,7.0,8800.0,2823.49,-0.086,17.0,0.146,6,prime,0,0.86,3.0,2.0,0,2823.49,3,low_engagement_new
SME100044,small,retail,employee,2.8,14.0,23600.0,2266.04,-0.137,20.0,0.048,3,super_prime,0,0.82,2.0,8.0,0,2266.04,3,low_engagement_new
SME100045,small,professional_services,employee,8.6,18.0,20100.0,4490.52,-0.037,39.0,0.476,12,prime,1,0.76,2.0,12.0,0,4490.52,1,at_risk_stressed
SME100046,micro,construction,business_owner,7.4,4.0,7300.0,1523.96,-0.027,11.0,0.173,10,near_prime,3,0.39,4.0,4.0,1,1523.96,3,low_engagement_new
SME100047,micro,food_service,employee,3.8,10.0,6600.0,4853.65,0.224,32.0,0.474,14,subprime,3,0.57,2.0,7.0,0,4853.65,1,at_risk_stressed
SME100048,small,tech,employee,0.5,10.0,11300.0,5618.22,-0.111,58.0,0.2,9,prime,2,0.66,2.0,7.0,1,5618.22,3,low_engagement_new
SME100049,micro,professional_services,business_owner,6.3,9.0,1200.0,7024.91,0.003,58.0,0.354,14,near_prime,1,0.62,2.0,13.0,1,7024.91,2,high_value_newer
SME100050,micro,professional_services,business_owner,10.1,27.0,15200.0,2358.83,-0.027,16.0,0.465,12,subprime,3,0.59,3.0,7.0,0,2358.83,1,at_risk_stressed
SME100051,micro,professional_services,business_owner,1.3,17.0,24800.0,8063.54,0.223,73.0,0.737,1,prime,0,0.71,1.0,10.0,0,8063.54,1,at_risk_stressed
SME100052,small,construction,business_owner,11.7,19.0,15300.0,2630.85,-0.093,26.0,0.346,9,prime,2,0.81,1.0,2.0,1,2630.85,3,low_engagement_new
SME100053,small,tech,business_owner,1.1,1.0,21900.0,6998.6,-0.01,58.0,0.648,6,super_prime,0,0.96,0.0,9.0,0,6998.6,1,at_risk_stressed
SME100054,small,healthcare,business_owner,10.3,19.0,14600.0,7078.46,-0.086,47.0,0.545,13,subprime,3,0.46,2.0,11.0,0,7078.46,1,at_risk_stressed
SME100055,small,professional_services,business_owner,3.5,45.0,15300.0,5256.1,-0.073,30.0,0.157,9,prime,1,0.51,1.0,8.0,0,5256.1,3,low_engagement_new
SME100056,micro,tech,business_owner,2.2,16.0,19100.0,6041.63,0.059,59.0,0.132,1,super_prime,1,0.49,2.0,15.0,1,6041.63,3,low_engagement_new
SME100057,small,food_service,employee,16.7,28.0,32800.0,6002.56,-0.052,39.0,0.368,5,prime,0,0.83,2.0,9.0,0,6002.56,1,at_risk_stressed
SME100058,micro,retail,employee,3.1,53.0,1000.0,5754.49,-0.033,68.0,0.118,5,near_prime,3,0.65,5.0,11.0,0,5754.49,0,loyal_established
SME100059,micro,retail,business_owner,2.2,6.0,10100.0,4676.09,0.003,46.0,0.519,5,prime,1,0.72,0.0,10.0,0,4676.09,1,at_risk_stressed
SME100060,small,tech,business_owner,4.1,44.0,19900.0,6144.21,0.137,35.0,0.529,3,prime,1,0.87,3.0,6.0,0,6144.21,1,at_risk_stressed
SME100061,micro,tech,business_owner,10.8,16.0,21600.0,2914.62,-0.051,26.0,0.168,5,super_prime,0,0.81,1.0,7.0,0,2914.62,3,low_engagement_new
SME100062,small,tech,business_owner,2.2,2.0,14100.0,996.8,-0.154,12.0,0.397,11,near_prime,1,0.75,1.0,7.0,1,996.8,1,at_risk_stressed
SME100063,small,construction,business_owner,0.9,52.0,20900.0,7252.88,0.138,78.0,0.593,7,subprime,2,0.63,3.0,10.0,0,7252.88,1,at_risk_stressed
SME100064,small,construction,business_owner,0.5,11.0,11500.0,826.89,0.197,6.0,0.5,11,prime,0,0.79,0.0,8.0,0,826.89,1,at_risk_stressed
SME100065,small,healthcare,employee,3.6,14.0,8600.0,11712.79,-0.033,84.0,0.372,7,super_prime,0,0.91,0.0,6.0,0,11712.79,2,high_value_newer
SME100066,small,professional_services,employee,1.2,28.0,6800.0,4455.27,0.033,52.0,0.136,1,prime,2,0.73,4.0,10.0,0,4455.27,3,low_engagement_new
SME100067,micro,professional_services,employee,3.9,1.0,26800.0,12526.98,-0.078,101.0,0.129,4,super_prime,0,0.62,4.0,11.0,0,12526.98,2,high_value_newer
SME100068,micro,healthcare,employee,3.1,6.0,16100.0,2920.73,-0.007,19.0,0.164,4,super_prime,0,0.77,0.0,0.0,0,2920.73,3,low_engagement_new
SME100069,micro,retail,business_owner,11.5,17.0,14100.0,7792.17,0.136,52.0,0.604,9,prime,0,0.78,0.0,0.0,0,7792.17,1,at_risk_stressed
SME100070,micro,professional_services,employee,4.0,48.0,13400.0,3874.02,-0.025,27.0,0.343,2,subprime,0,0.46,4.0,0.0,0,3874.02,0,loyal_established
