customer_id,business_size,industry,cardholder_role,business_age_years,tenure_months,credit_limit,avg_monthly_spend,spend_trend_3mo,transaction_count_monthly,utilization_ratio,merchant_category_diversity,credit_score_band,late_payments_last_12mo,payment_ratio,support_calls_last_90d,login_frequency_monthly,churn_flag,received_offer,offer_type,retained_post_offer
SME186712,small,healthcare,employee,3.6,50.0,1000.0,1901.34,0.043,14.0,0.174,1,prime,2,0.74,1.0,4.0,0,0,none,1
SME197469,medium,tech,employee,6.3,2.0,6400.0,1731.88,-0.061,10.0,0.52,13,prime,2,0.65,0.0,11.0,0,0,none,1
SME183900,micro,food_service,business_owner,6.7,9.0,27300.0,1127.19,-0.135,10.0,0.481,5,super_prime,0,0.78,1.0,5.0,0,0,none,1
SME180535,micro,food_service,business_owner,12.9,36.0,3400.0,1545.04,-0.19,9.0,0.24,14,near_prime,2,0.66,3.0,8.0,0,0,none,0
SME194094,micro,healthcare,business_owner,8.5,10.0,18400.0,4587.59,0.027,54.0,0.256,2,super_prime,0,1.18,0.0,8.0,0,0,none,1
SME181712,micro,tech,business_owner,10.4,1.0,14400.0,6006.94,-0.2,35.0,0.248,4,near_prime,2,0.7,2.0,5.0,1,1,waived_fee,1
SME133023,small,professional_services,business_owner,6.8,15.0,15700.0,6466.14,0.199,40.0,0.119,11,subprime,3,0.44,5.0,13.0,0,1,travel_credit,1
SME103500,micro,retail,employee,6.9,17.0,20700.0,806.81,-0.006,5.0,0.329,13,near_prime,1,0.59,4.0,1.0,0,0,none,1
SME103112,small,healthcare,employee,3.3,9.0,16600.0,4639.84,-0.224,25.0,0.274,14,near_prime,0,0.86,2.0,13.0,0,0,none,1
SME168350,micro,food_service,business_owner,10.4,43.0,22700.0,8794.77,-0.028,74.0,0.491,14,prime,0,0.65,2.0,17.0,0,1,waived_fee,1
SME163716,micro,tech,employee,3.1,1.0,8400.0,1239.42,0.106,11.0,0.378,10,subprime,6,0.59,3.0,3.0,1,0,none,1
SME109135,small,professional_services,business_owner,8.3,8.0,5500.0,5010.76,0.056,48.0,0.631,11,subprime,0,0.51,4.0,16.0,1,0,none,1
SME182562,small,construction,employee,3.8,15.0,29300.0,83.66,-0.163,1.0,0.385,7,super_prime,0,0.95,1.0,12.0,0,0,none,1
SME160571,small,professional_services,employee,15.9,3.0,30300.0,4030.45,0.006,29.0,0.312,3,super_prime,0,1.06,2.0,4.0,0,0,none,1
SME103213,small,food_service,employee,0.5,3.0,15400.0,4035.11,-0.027,31.0,0.207,2,prime,0,0.69,0.0,4.0,0,0,none,1
SME176382,micro,retail,business_owner,11.2,7.0,14100.0,5727.44,-0.213,52.0,0.308,6,near_prime,0,0.67,2.0,6.0,0,0,none,1
SME108291,medium,professional_services,business_owner,7.6,5.0,14300.0,5029.57,0.086,45.0,0.485,12,subprime,2,0.85,1.0,17.0,0,0,none,1
SME115795,small,healthcare,business_owner,4.6,58.0,7900.0,1012.19,0.105,8.0,0.128,13,near_prime,0,0.48,2.0,8.0,0,0,none,0
SME187870,small,retail,employee,0.8,28.0,24500.0,6087.23,-0.118,48.0,0.183,11,near_prime,1,0.61,1.0,0.0,0,0,none,0
SME121829,micro,healthcare,business_owner,0.6,4.0,16900.0,97.12,-0.029,1.0,0.454,11,near_prime,1,0.73,0.0,11.0,1,0,none,1
SME116577,micro,retail,business_owner,0.7,11.0,16900.0,4491.46,0.028,40.0,0.554,10,subprime,2,0.69,4.0,16.0,0,1,travel_credit,1
SME146339,small,healthcare,employee,11.3,11.0,1000.0,6840.91,-0.101,55.0,0.469,5,subprime,1,0.48,2.0,6.0,0,1,waived_fee,1
SME140771,micro,food_service,business_owner,1.3,18.0,10400.0,2982.42,0.012,21.0,0.108,2,prime,4,0.55,0.0,3.0,0,0,none,0
SME124564,small,healthcare,business_owner,11.8,3.0,13700.0,6839.3,-0.107,37.0,0.617,2,near_prime,0,0.74,2.0,11.0,1,0,none,1
SME109368,small,retail,business_owner,3.4,8.0,18000.0,5418.74,0.058,39.0,0.71,10,super_prime,0,0.97,,8.0,0,0,none,1
SME145673,small,professional_services,employee,11.6,5.0,15200.0,8933.63,-0.019,95.0,0.285,5,prime,2,0.95,1.0,17.0,0,1,credit_increase,1
SME168951,medium,professional_services,business_owner,5.8,19.0,20800.0,108.36,0.084,1.0,0.218,5,super_prime,0,0.75,1.0,9.0,1,0,none,1
SME148252,micro,retail,business_owner,0.5,2.0,13400.0,77.34,-0.227,1.0,0.357,4,super_prime,0,0.89,1.0,13.0,0,1,waived_fee,0
SME181468,micro,professional_services,business_owner,8.5,46.0,16700.0,8075.51,-0.158,57.0,0.687,11,near_prime,1,0.64,2.0,7.0,0,0,none,1
SME142320,micro,retail,business_owner,2.4,1.0,2200.0,4349.11,-0.098,43.0,0.316,11,near_prime,2,0.4,0.0,5.0,1,0,none,1
SME160029,micro,retail,business_owner,1.4,48.0,13700.0,2275.25,-0.046,18.0,0.426,13,prime,0,0.99,1.0,12.0,1,1,credit_increase,1
SME191220,small,retail,employee,3.0,1.0,24500.0,4155.68,0.191,23.0,0.376,9,prime,0,0.74,2.0,0.0,0,1,travel_credit,1
SME111315,micro,professional_services,employee,21.3,2.0,7700.0,2750.32,-0.147,30.0,0.143,11,near_prime,1,0.44,1.0,7.0,1,1,credit_increase,0
